Facility_ID,Hospital_Type,Procedure_Category,Operative_Procedure,Procedure_Count,Infection_Count,SSI_ratio,Performance
930000092, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,4.0,0.0,0.0,Good
240000104, 125-250 Beds,Cardiac Procedures,Cardiac surgery,35.0,0.0,0.0,Good
930000103, 250+ Beds,Cardiac Procedures,Cardiac surgery,34.0,0.0,0.0,Good
220000030, 125-250 Beds,Cardiac Procedures,Cardiac surgery,13.0,0.0,0.0,Good
140000797, 125-250 Beds,Cardiac Procedures,Cardiac surgery,15.0,0.0,0.0,Good
140000016, 125-250 Beds,Cardiac Procedures,Cardiac surgery,6.0,0.0,0.0,Good
30000151, 250+ Beds,Cardiac Procedures,Cardiac surgery,560.0,3.0,0.5357142857142857,Good
30000134, 250+ Beds,Cardiac Procedures,Cardiac surgery,8.0,0.0,0.0,Good
110000007, Less than 125 Beds,Cardiac Procedures,Cardiac surgery,38.0,0.0,0.0,Good
110000068, Less than 125 Beds,Cardiac Procedures,Cardiac surgery,4.0,0.0,0.0,Good
630014442, 125-250 Beds,Cardiac Procedures,Cardiac surgery,57.0,0.0,0.0,Good
930000133, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,5.0,0.0,0.0,Good
930000127, 250+ Beds,Cardiac Procedures,Cardiac surgery,155.0,0.0,0.0,Good
930000129, 250+ Beds,Cardiac Procedures,Cardiac surgery,9.0,0.0,0.0,Good
140000118, 250+ Beds,Cardiac Procedures,Cardiac surgery,48.0,0.0,0.0,Good
930000028, 250+ Beds,Cardiac Procedures,Cardiac surgery,15.0,0.0,0.0,Good
30000146, Less than 125 Beds,Cardiac Procedures,Cardiac surgery,1.0,0.0,0.0,Good
60000068, 250+ Beds,Cardiac Procedures,Pacemaker surgery,263.0,0.0,0.0,Good
50000009, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,10.0,0.0,0.0,Good
110000953, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,52.0,0.0,0.0,Good
930000044, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,8.0,0.0,0.0,Good
30000121, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,94.0,0.0,0.0,Good
60000035, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,1.0,0.0,0.0,Good
80000152, 250+ Beds,Cardiac Procedures,Cardiac surgery,2.0,0.0,0.0,Good
60000068, 250+ Beds,Cardiac Procedures,Cardiac surgery,85.0,0.0,0.0,Good
930000077, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,10.0,0.0,0.0,Good
90000145, 250+ Beds,Cardiac Procedures,Pacemaker surgery,33.0,0.0,0.0,Good
630013913, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,9.0,0.0,0.0,Good
220000007, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,2.0,0.0,0.0,Good
140000704, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,16.0,0.0,0.0,Good
50000280, 250+ Beds,Cardiac Procedures,Pacemaker surgery,71.0,0.0,0.0,Good
60000002, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",125.0,0.0,0.0,Good
120000411, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",43.0,0.0,0.0,Good
930000059, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",115.0,0.0,0.0,Good
110000058, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",74.0,1.0,1.3513513513513513,Good
140000425, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",154.0,1.0,0.6493506493506493,Good
90000013, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",21.0,0.0,0.0,Good
60000074, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",19.0,0.0,0.0,Good
930000008, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",10.0,0.0,0.0,Good
120001330, Less than 125 Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",66.0,1.0,1.5151515151515151,Good
120000338, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",69.0,0.0,0.0,Good
930000012, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",11.0,0.0,0.0,Good
930000022, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",18.0,0.0,0.0,Good
930000070, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",121.0,0.0,0.0,Good
70000137, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",94.0,0.0,0.0,Good
30000117, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",33.0,0.0,0.0,Good
250000008, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",57.0,1.0,1.7543859649122806,Good
240001330, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",36.0,1.0,2.7777777777777777,Good
30000135, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,16.0,0.0,0.0,Good
930000041, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,26.0,0.0,0.0,Good
930000125, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,5.0,0.0,0.0,Good
240000053, 250+ Beds,Cardiac Procedures,Pacemaker surgery,208.0,0.0,0.0,Good
110000040, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,14.0,0.0,0.0,Good
90000146, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,1.0,0.0,0.0,Good
60000062, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,23.0,0.0,0.0,Good
80000147, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,15.0,0.0,0.0,Good
930000123, 250+ Beds,Cardiac Procedures,Pacemaker surgery,155.0,0.0,0.0,Good
930000066, 250+ Beds,Cardiac Procedures,Pacemaker surgery,28.0,0.0,0.0,Good
930000157, 250+ Beds,Cardiac Procedures,Pacemaker surgery,7.0,0.0,0.0,Good
930000081, 250+ Beds,Cardiac Procedures,Pacemaker surgery,3.0,0.0,0.0,Good
930000100, 250+ Beds,Cardiac Procedures,Pacemaker surgery,75.0,0.0,0.0,Good
930000101, 250+ Beds,Cardiac Procedures,Pacemaker surgery,118.0,0.0,0.0,Good
630013873, 250+ Beds,Cardiac Procedures,Pacemaker surgery,155.0,1.0,0.6451612903225806,Good
930000091, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,156.0,0.0,0.0,Good
240000046, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,46.0,0.0,0.0,Good
70000133, 250+ Beds,Cardiac Procedures,Pacemaker surgery,181.0,0.0,0.0,Good
230000261, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,104.0,0.0,0.0,Good
250000049, 250+ Beds,Cardiac Procedures,Pacemaker surgery,206.0,3.0,1.4563106796116505,Good
60000063, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,302.0,2.0,0.6622516556291391,Good
40000126, 250+ Beds,Cardiac Procedures,Pacemaker surgery,327.0,0.0,0.0,Good
930000128, 250+ Beds,Cardiac Procedures,Pacemaker surgery,55.0,0.0,0.0,Good
220000029, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,2.0,0.0,0.0,Good
930000104, 250+ Beds,Cardiac Procedures,Pacemaker surgery,111.0,0.0,0.0,Good
70000147, 250+ Beds,Cardiac Procedures,Pacemaker surgery,2.0,0.0,0.0,Good
110000041, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,66.0,0.0,0.0,Good
30000143, 250+ Beds,Cardiac Procedures,Cardiac surgery,101.0,0.0,0.0,Good
60000067, 250+ Beds,Cardiac Procedures,Cardiac surgery,68.0,0.0,0.0,Good
110000067, 125-250 Beds,Cardiac Procedures,Cardiac surgery,23.0,0.0,0.0,Good
60000011, 250+ Beds,Cardiac Procedures,Cardiac surgery,3.0,0.0,0.0,Good
50000016, Less than 125 Beds,Cardiac Procedures,Cardiac surgery,55.0,0.0,0.0,Good
40001397, Less than 125 Beds,Cardiac Procedures,Cardiac surgery,129.0,0.0,0.0,Good
930000058, 125-250 Beds,Cardiac Procedures,Cardiac surgery,59.0,0.0,0.0,Good
930000093, 250+ Beds,Cardiac Procedures,Cardiac surgery,38.0,0.0,0.0,Good
930000068, 125-250 Beds,Cardiac Procedures,Cardiac surgery,87.0,0.0,0.0,Good
70000153, 250+ Beds,Cardiac Procedures,Cardiac surgery,59.0,0.0,0.0,Good
80000045, 250+ Beds,Cardiac Procedures,Cardiac surgery,88.0,0.0,0.0,Good
930000063, 125-250 Beds,Cardiac Procedures,Cardiac surgery,4.0,0.0,0.0,Good
60001022, Less than 125 Beds,Cardiac Procedures,Cardiac surgery,2.0,0.0,0.0,Good
60000014, 250+ Beds,Cardiac Procedures,Cardiac surgery,282.0,1.0,0.3546099290780142,Good
930000065, 250+ Beds,Cardiac Procedures,Cardiac surgery,9.0,1.0,11.11111111111111,Bad
930000026, 250+ Beds,Cardiac Procedures,Cardiac surgery,93.0,0.0,0.0,Good
930000074, 250+ Beds,Cardiac Procedures,Cardiac surgery,9.0,0.0,0.0,Good
630011683, 125-250 Beds,Cardiac Procedures,Cardiac surgery,2.0,0.0,0.0,Good
220000010, 125-250 Beds,Cardiac Procedures,Cardiac surgery,1.0,0.0,0.0,Good
70000150, 125-250 Beds,Cardiac Procedures,Cardiac surgery,1.0,0.0,0.0,Good
630015029, 125-250 Beds,Cardiac Procedures,Cardiac surgery,2.0,0.0,0.0,Good
30000133, 125-250 Beds,Cardiac Procedures,Cardiac surgery,5.0,0.0,0.0,Good
930000076, 125-250 Beds,Cardiac Procedures,Cardiac surgery,7.0,0.0,0.0,Good
120001444, 250+ Beds,Cardiac Procedures,Cardiac surgery,98.0,1.0,1.0204081632653061,Good
930000056, Less than 125 Beds,Cardiac Procedures,Cardiac surgery,4.0,0.0,0.0,Good
230000013, 250+ Beds,Cardiac Procedures,Cardiac surgery,52.0,0.0,0.0,Good
30000125, 125-250 Beds,Cardiac Procedures,Cardiac surgery,1.0,0.0,0.0,Good
70001351, 250+ Beds,Cardiac Procedures,Cardiac surgery,168.0,0.0,0.0,Good
930000059, 250+ Beds,Cardiac Procedures,Cardiac surgery,49.0,0.0,0.0,Good
630012960, 125-250 Beds,Cardiac Procedures,Cardiac surgery,2.0,0.0,0.0,Good
110000058, 125-250 Beds,Cardiac Procedures,Cardiac surgery,78.0,0.0,0.0,Good
140000425, 250+ Beds,Cardiac Procedures,Cardiac surgery,125.0,0.0,0.0,Good
90000013, 125-250 Beds,Cardiac Procedures,Cardiac surgery,13.0,0.0,0.0,Good
60000074, 125-250 Beds,Cardiac Procedures,Cardiac surgery,13.0,0.0,0.0,Good
930000008, 250+ Beds,Cardiac Procedures,Cardiac surgery,6.0,0.0,0.0,Good
120001330, Less than 125 Beds,Cardiac Procedures,Cardiac surgery,35.0,0.0,0.0,Good
120000338, 250+ Beds,Cardiac Procedures,Cardiac surgery,78.0,0.0,0.0,Good
930000012, 125-250 Beds,Cardiac Procedures,Cardiac surgery,6.0,0.0,0.0,Good
630012971, Less than 125 Beds,Cardiac Procedures,Cardiac surgery,20.0,0.0,0.0,Good
930000022, 250+ Beds,Cardiac Procedures,Cardiac surgery,11.0,0.0,0.0,Good
930000132, 250+ Beds,Cardiac Procedures,Cardiac surgery,15.0,0.0,0.0,Good
930000036, 125-250 Beds,Cardiac Procedures,Cardiac surgery,16.0,0.0,0.0,Good
40000095, 125-250 Beds,Cardiac Procedures,Cardiac surgery,1.0,0.0,0.0,Good
70000137, 250+ Beds,Cardiac Procedures,Cardiac surgery,91.0,0.0,0.0,Good
30000117, 125-250 Beds,Cardiac Procedures,Cardiac surgery,12.0,0.0,0.0,Good
250000008, 250+ Beds,Cardiac Procedures,Cardiac surgery,25.0,0.0,0.0,Good
240001330, 125-250 Beds,Cardiac Procedures,Cardiac surgery,5.0,0.0,0.0,Good
30000122, 250+ Beds,Cardiac Procedures,Cardiac surgery,105.0,0.0,0.0,Good
70000139, 125-250 Beds,Cardiac Procedures,Cardiac surgery,117.0,0.0,0.0,Good
140000183, 125-250 Beds,Cardiac Procedures,Cardiac surgery,5.0,0.0,0.0,Good
930000070, 125-250 Beds,Cardiac Procedures,Cardiac surgery,86.0,0.0,0.0,Good
930000095, 250+ Beds,Cardiac Procedures,Cardiac surgery,152.0,0.0,0.0,Good
60000025, 125-250 Beds,Cardiac Procedures,Cardiac surgery,1.0,0.0,0.0,Good
50000020, 250+ Beds,Cardiac Procedures,Cardiac surgery,65.0,0.0,0.0,Good
110000041, 125-250 Beds,Cardiac Procedures,Cardiac surgery,24.0,0.0,0.0,Good
70000133, 250+ Beds,Cardiac Procedures,Cardiac surgery,16.0,0.0,0.0,Good
230000261, 125-250 Beds,Cardiac Procedures,Cardiac surgery,33.0,0.0,0.0,Good
250000049, 250+ Beds,Cardiac Procedures,Cardiac surgery,74.0,0.0,0.0,Good
60000063, 125-250 Beds,Cardiac Procedures,Cardiac surgery,31.0,0.0,0.0,Good
40000126, 250+ Beds,Cardiac Procedures,Cardiac surgery,213.0,0.0,0.0,Good
930000128, 250+ Beds,Cardiac Procedures,Cardiac surgery,32.0,0.0,0.0,Good
930000104, 250+ Beds,Cardiac Procedures,Cardiac surgery,25.0,0.0,0.0,Good
70000147, 250+ Beds,Cardiac Procedures,Cardiac surgery,25.0,0.0,0.0,Good
240000053, 250+ Beds,Cardiac Procedures,Cardiac surgery,109.0,0.0,0.0,Good
930000091, 125-250 Beds,Cardiac Procedures,Cardiac surgery,21.0,0.0,0.0,Good
30000135, 125-250 Beds,Cardiac Procedures,Cardiac surgery,7.0,0.0,0.0,Good
50000280, 250+ Beds,Cardiac Procedures,Cardiac surgery,60.0,1.0,1.6666666666666667,Good
140001268, 250+ Beds,Cardiac Procedures,Cardiac surgery,82.0,0.0,0.0,Good
80000149, 250+ Beds,Cardiac Procedures,Cardiac surgery,417.0,3.0,0.7194244604316548,Good
90000016, 125-250 Beds,Cardiac Procedures,Cardiac surgery,14.0,0.0,0.0,Good
220000025, 125-250 Beds,Cardiac Procedures,Cardiac surgery,169.0,0.0,0.0,Good
220000026, Less than 125 Beds,Cardiac Procedures,Cardiac surgery,19.0,0.0,0.0,Good
90000021, 125-250 Beds,Cardiac Procedures,Cardiac surgery,91.0,1.0,1.098901098901099,Good
80000036, 250+ Beds,Cardiac Procedures,Cardiac surgery,282.0,1.0,0.3546099290780142,Good
230000016, 125-250 Beds,Cardiac Procedures,Cardiac surgery,49.0,0.0,0.0,Good
50000035, 125-250 Beds,Cardiac Procedures,Cardiac surgery,57.0,0.0,0.0,Good
140000704, Less than 125 Beds,Cardiac Procedures,Cardiac surgery,3.0,1.0,33.33333333333333,Bad
30000122, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",318.0,2.0,0.628930817610063,Good
930000101, 250+ Beds,Cardiac Procedures,Cardiac surgery,40.0,0.0,0.0,Good
930000081, 250+ Beds,Cardiac Procedures,Cardiac surgery,56.0,0.0,0.0,Good
50000021, 125-250 Beds,Cardiac Procedures,Cardiac surgery,27.0,0.0,0.0,Good
110000953, 125-250 Beds,Cardiac Procedures,Cardiac surgery,26.0,0.0,0.0,Good
930000044, 125-250 Beds,Cardiac Procedures,Cardiac surgery,1.0,0.0,0.0,Good
60000035, 125-250 Beds,Cardiac Procedures,Cardiac surgery,2.0,0.0,0.0,Good
30000123, 250+ Beds,Cardiac Procedures,Cardiac surgery,146.0,0.0,0.0,Good
30000124, 250+ Beds,Cardiac Procedures,Cardiac surgery,529.0,2.0,0.3780718336483932,Good
230000010, 250+ Beds,Cardiac Procedures,Cardiac surgery,36.0,1.0,2.7777777777777777,Good
930000096, 250+ Beds,Cardiac Procedures,Cardiac surgery,29.0,0.0,0.0,Good
220000017, 125-250 Beds,Cardiac Procedures,Cardiac surgery,103.0,0.0,0.0,Good
60000060, 250+ Beds,Cardiac Procedures,Cardiac surgery,108.0,0.0,0.0,Good
930000100, 250+ Beds,Cardiac Procedures,Cardiac surgery,72.0,0.0,0.0,Good
110000010, 125-250 Beds,Cardiac Procedures,Cardiac surgery,18.0,0.0,0.0,Good
60000208, 125-250 Beds,Cardiac Procedures,Cardiac surgery,83.0,0.0,0.0,Good
60000073, 250+ Beds,Cardiac Procedures,Cardiac surgery,25.0,0.0,0.0,Good
930000052, 125-250 Beds,Cardiac Procedures,Cardiac surgery,10.0,0.0,0.0,Good
930000099, 250+ Beds,Cardiac Procedures,Cardiac surgery,94.0,0.0,0.0,Good
930000057, 125-250 Beds,Cardiac Procedures,Cardiac surgery,3.0,0.0,0.0,Good
930000077, 125-250 Beds,Cardiac Procedures,Cardiac surgery,2.0,0.0,0.0,Good
630013873, 250+ Beds,Cardiac Procedures,Cardiac surgery,64.0,0.0,0.0,Good
90000145, 250+ Beds,Cardiac Procedures,Cardiac surgery,3.0,0.0,0.0,Good
930000123, 250+ Beds,Cardiac Procedures,Cardiac surgery,59.0,0.0,0.0,Good
930000066, 250+ Beds,Cardiac Procedures,Cardiac surgery,34.0,0.0,0.0,Good
930000111, 250+ Beds,Cardiac Procedures,Cardiac surgery,38.0,0.0,0.0,Good
120000411, 250+ Beds,Cardiac Procedures,Cardiac surgery,33.0,0.0,0.0,Good
70000139, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",98.0,0.0,0.0,Good
230000013, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest and donor incisions",79.0,0.0,0.0,Good
70000133, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",2.0,0.0,0.0,Good
250000049, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",7.0,0.0,0.0,Good
40000126, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",29.0,0.0,0.0,Good
930000128, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",18.0,0.0,0.0,Good
930000104, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",3.0,0.0,0.0,Good
70000147, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",29.0,0.0,0.0,Good
240000053, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",11.0,0.0,0.0,Good
140000704, Less than 125 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",21.0,1.0,4.761904761904762,Bad
50000280, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",13.0,0.0,0.0,Good
140001268, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",8.0,0.0,0.0,Good
80000149, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",18.0,0.0,0.0,Good
220000025, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",16.0,0.0,0.0,Good
220000026, Less than 125 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",1.0,0.0,0.0,Good
90000021, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",4.0,0.0,0.0,Good
80000036, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",6.0,0.0,0.0,Good
230000016, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",14.0,0.0,0.0,Good
50000035, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",2.0,0.0,0.0,Good
110000067, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",2.0,0.0,0.0,Good
60000067, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",8.0,0.0,0.0,Good
30000143, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",2.0,0.0,0.0,Good
60000068, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",5.0,0.0,0.0,Good
110000041, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",1.0,0.0,0.0,Good
930000091, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",1.0,0.0,0.0,Good
930000101, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",4.0,0.0,0.0,Good
930000100, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",3.0,0.0,0.0,Good
120001444, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",14.0,0.0,0.0,Good
930000047, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",72.0,1.0,1.3888888888888888,Good
630012971, Less than 125 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",8.0,0.0,0.0,Good
930000095, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",26.0,0.0,0.0,Good
50000020, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",23.0,0.0,0.0,Good
50000021, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",2.0,0.0,0.0,Good
110000953, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",3.0,0.0,0.0,Good
30000123, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",3.0,0.0,0.0,Good
30000124, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",24.0,0.0,0.0,Good
230000010, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",1.0,0.0,0.0,Good
240000104, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",8.0,0.0,0.0,Good
930000096, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",3.0,0.0,0.0,Good
60000060, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",11.0,0.0,0.0,Good
110000010, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",7.0,0.0,0.0,Good
930000111, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",11.0,0.0,0.0,Good
60000208, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",112.0,0.0,0.0,Good
60000073, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",4.0,0.0,0.0,Good
930000052, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",9.0,0.0,0.0,Good
930000099, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",4.0,0.0,0.0,Good
930000077, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",1.0,0.0,0.0,Good
630013873, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",8.0,0.0,0.0,Good
930000123, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",14.0,0.0,0.0,Good
220000017, 125-250 Beds,Cardiac Procedures,"Coronary bypass, chest incision only",10.0,1.0,10.0,Bad
930000026, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",11.0,0.0,0.0,Good
930000103, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",3.0,0.0,0.0,Good
30000151, 250+ Beds,Cardiac Procedures,"Coronary bypass, chest incision only",28.0,0.0,0.0,Good
140000118, 250+ Beds,Cardiac Procedures,Pacemaker surgery,98.0,0.0,0.0,Good
240000054, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,33.0,0.0,0.0,Good
50000039, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,1.0,0.0,0.0,Good
930000129, 250+ Beds,Cardiac Procedures,Pacemaker surgery,46.0,0.0,0.0,Good
930000187, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,51.0,0.0,0.0,Good
120001467, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,3.0,0.0,0.0,Good
80000152, 250+ Beds,Cardiac Procedures,Pacemaker surgery,12.0,0.0,0.0,Good
930000127, 250+ Beds,Cardiac Procedures,Pacemaker surgery,183.0,0.0,0.0,Good
630014442, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,116.0,0.0,0.0,Good
30000141, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,10.0,0.0,0.0,Good
110000068, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,25.0,0.0,0.0,Good
110000007, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,110.0,0.0,0.0,Good
30000134, 250+ Beds,Cardiac Procedures,Pacemaker surgery,172.0,1.0,0.5813953488372093,Good
30000151, 250+ Beds,Cardiac Procedures,Pacemaker surgery,374.0,0.0,0.0,Good
110000049, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,3.0,0.0,0.0,Good
30000109, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,26.0,0.0,0.0,Good
140000797, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,4.0,0.0,0.0,Good
220000030, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,13.0,0.0,0.0,Good
930000103, 250+ Beds,Cardiac Procedures,Pacemaker surgery,9.0,0.0,0.0,Good
240000104, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,177.0,0.0,0.0,Good
70000635, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,5.0,0.0,0.0,Good
70000155, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,8.0,0.0,0.0,Good
930000028, 250+ Beds,Cardiac Procedures,Pacemaker surgery,51.0,0.0,0.0,Good
930000151, 125-250 Beds,Cardiac Procedures,Pacemaker surgery,21.0,0.0,0.0,Good
30000146, Less than 125 Beds,Cardiac Procedures,Pacemaker surgery,28.0,0.0,0.0,Good
