Year,State,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Hospital_Type,County,Procedure_Count,Infection_Count,Predicted_Infection_Count,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,SIR_2015,"On Track Toward 2020 Goal (0.88, 2017)",Notes
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,110000070,Adventist Health Ukiah Valley,Acute Care Hospital,Community (<125 Beds),Mendocino,677,1,2.685,0.37,0.02,1.84,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000191,Adventist Health White Memorial,Acute Care Hospital,Major Teaching,Los Angeles,2914,8,13.152,0.61,0.28,1.16,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,140000011,Alameda Hospital,Acute Care Hospital,Community (<125 Beds),Alameda,170,0,0.776,0.00,0,4.75,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000005,Alhambra Hospital Medical Center,Acute Care Hospital,Community (125-250 Beds),Los Angeles,535,0,3.327,0.00,0,0.9,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,140000425,Alta Bates Summit Medical Center,Acute Care Hospital,Community (>250 Beds),Alameda,2458,22,19.177,1.15,0.74,1.71,Same,,No,"Hospitals reported combined data, see Data Dictionary"
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,140000012,"Alta Bates Summit Medical Center, Alta Bates Campus",Acute Care Hospital,Community (>250 Beds),Alameda,3145,11,16.374,0.67,0.35,1.17,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,090000013,Alvarado Hospital Medical Center,Acute Care Hospital,Community (125-250 Beds),San Diego,1404,3,6.372,0.47,0.12,1.28,Same,,Yes,"Hospitals reported combined data, see Data Dictionary"
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,060000074,Anaheim Global Medical Center,Acute Care Hospital,Community (125-250 Beds),Orange,465,0,1.179,0.00,0,2.54,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000008,Antelope Valley Hospital,Acute Care Hospital,Community (>250 Beds),Los Angeles,4390,18,24.119,0.75,0.46,1.16,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,240000100,Arrowhead Regional Medical Center,Acute Care Hospital,Major Teaching,San Bernardino,2882,17,22.288,0.76,0.46,1.2,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,120001330,Bakersfield Heart Hospital,Acute Care Hospital,Community (<125 Beds),Kern,595,2,2.448,0.82,0.14,2.7,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,120000338,Bakersfield Memorial Hospital,Acute Care Hospital,Community (>250 Beds),Kern,3304,6,15.105,0.40,0.16,0.83,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,230000008,Banner Lassen Medical Center,Critical Access Hospital,Critical Access,Lassen,143,0,0.331,0.00,0,11.15,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,240000001,Barstow Community Hospital,Acute Care Hospital,Community (<125 Beds),San Bernardino,329,0,1.587,0.00,0,1.89,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,030000114,Barton Memorial Hospital,Acute Care Hospital,Community (<125 Beds),El Dorado,739,1,3.415,0.29,0.02,1.44,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,240000002,Bear Valley Community Hospital,Critical Access Hospital,Critical Access,San Bernardino,2,0,0.055,,,,,,,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000012,Beverly Hospital,Acute Care Hospital,Community (125-250 Beds),Los Angeles,1051,0,3.452,0.00,0,0.87,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000002,"California Hospital Medical Center, Los Angeles",Acute Care Hospital,Major Teaching,Los Angeles,2811,17,14.632,1.16,0.7,1.82,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,220000002,"California Pacific Medical Center, California West Campus Hospital",Acute Care Hospital,Major Teaching,San Francisco,2165,1,5.56,0.18,0.01,0.89,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,220000023,"California Pacific Medical Center, Davies Campus Hospital",Acute Care Hospital,Major Teaching,San Francisco,452,2,1.981,1.01,0.17,3.34,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,220000022,"California Pacific Medical Center, Pacific Campus Hospital",Acute Care Hospital,Major Teaching,San Francisco,3904,37,35.32,1.05,0.75,1.43,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,220000018,"California Pacific Medical Center, St. Luke's Campus Hospital",Acute Care Hospital,Major Teaching,San Francisco,477,4,2.202,1.82,0.58,4.38,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000004,Cedars-Sinai Medical Center,Acute Care Hospital,Major Teaching,Los Angeles,14850,112,116.054,0.97,0.8,1.16,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000022,Centinela Hospital Medical Center,Acute Care Hospital,Community (>250 Beds),Los Angeles,1032,0,6.292,0.00,0,0.48,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,060000006,Chapman Global Medical Center,Acute Care Hospital,Community (<125 Beds),Orange,757,2,2.946,0.68,0.11,2.24,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,140000014,Children's Hospital & Research Center Oakland,Acute Care Hospital,Pediatric,Alameda,38,0,0.289,0.00,0,12.76,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000034,Children's Hospital Los Angeles,Acute Care Hospital,Pediatric,Los Angeles,80,0,0.791,0.00,0,4.66,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,060000007,Children's Hospital of Orange County,Acute Care Hospital,Pediatric,Orange,77,1,0.499,2.00,0.05,11.17,Same,,No,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,220000003,Chinese Hospital,Acute Care Hospital,Community (<125 Beds),San Francisco,187,0,0.99,0.00,0,3.73,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,240000003,Chino Valley Medical Center,Acute Care Hospital,Community (<125 Beds),San Bernardino,419,0,1.47,0.00,0,2.04,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000070,"Citrus Valley Medical Center, IC Campus",Acute Care Hospital,Community (125-250 Beds),Los Angeles,1000,4,10.164,0.39,0.13,0.95,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000132,"Citrus Valley Medical Center, QV Campus",Acute Care Hospital,Community (>250 Beds),Los Angeles,3171,8,20.499,0.39,0.18,0.74,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000036,City of Hope Helford Clinical Research Hospital,Acute Care Hospital,Community (125-250 Beds),Los Angeles,1810,13,39.227,0.33,0.18,0.55,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,040000095,Clovis Community Medical Center,Acute Care Hospital,Community (125-250 Beds),Fresno,3369,19,15.604,1.22,0.76,1.87,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000038,Coast Plaza Hospital,Acute Care Hospital,Community (<125 Beds),Los Angeles,120,0,0.54,0.00,0,6.83,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000114,College Medical Center,Acute Care Hospital,Community (<125 Beds),Los Angeles,125,0,0.84,0.00,0,4.39,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,240000034,Colorado River Medical Center,Critical Access Hospital,Critical Access,San Bernardino,14,0,0.042,,,,,,,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000082,Community Hospital Long Beach,Acute Care Hospital,Community (<125 Beds),Los Angeles,211,0,1.21,0.00,0,2.48,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000040,Community Hospital of Huntington Park,Acute Care Hospital,Community (<125 Beds),Los Angeles,262,0,0.941,0.00,0,3.92,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,240000082,Community Hospital of San Bernardino,Acute Care Hospital,Community (>250 Beds),San Bernardino,1030,0,3.421,0.00,0,0.88,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,070000137,Community Hospital of The Monterey Peninsula,Acute Care Hospital,Community (>250 Beds),Monterey,2872,19,15.275,1.24,0.77,1.91,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,050000014,"Community Memorial Hospital, San Buenaventura",Acute Care Hospital,Major Teaching,Ventura,2636,6,11.411,0.53,0.21,1.09,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,040000101,Community Regional Medical Center,Acute Care Hospital,Major Teaching,Fresno,3000,30,27.813,1.08,0.74,1.52,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,140000195,Contra Costa Regional Medical Center,Acute Care Hospital,Community (125-250 Beds),Contra Costa,1080,6,6.781,0.89,0.36,1.84,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,250000006,Corona Regional Medical Center,Acute Care Hospital,Community (125-250 Beds),Riverside,1530,5,6.181,0.81,0.3,1.79,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,030000117,Dameron Hospital,Acute Care Hospital,Community (125-250 Beds),San Joaquin,1432,6,7.879,0.76,0.31,1.58,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,120000336,Delano Regional Medical Center,Acute Care Hospital,Community (<125 Beds),Kern,398,3,1.219,2.46,0.63,6.7,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,250000008,Desert Regional Medical Center,Acute Care Hospital,Community (>250 Beds),Riverside,3933,17,17.459,0.97,0.59,1.53,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,240001330,Desert Valley Hospital,Acute Care Hospital,Community (125-250 Beds),San Bernardino,618,2,2.873,0.70,0.12,2.3,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,030000118,Doctors Hospital of Manteca,Acute Care Hospital,Community (<125 Beds),San Joaquin,505,0,1.493,0.00,0,2.01,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,030000122,Doctors Medical Center,Acute Care Hospital,Community (>250 Beds),Stanislaus,5285,31,30.388,1.02,0.71,1.43,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,070000139,Dominican Hospital,Acute Care Hospital,Community (125-250 Beds),Santa Cruz,2269,12,11.703,1.03,0.56,1.74,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930001709,Earl & Loraine Miller Children's Hospital,Acute Care Hospital,Pediatric,Los Angeles,1744,3,2.007,1.50,0.38,4.07,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000053,East Los Angeles Doctors Hospital,Acute Care Hospital,Community (125-250 Beds),Los Angeles,312,0,0.684,0.00,0,5.39,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,140000183,Eden Medical Center,Acute Care Hospital,Community (125-250 Beds),Alameda,1769,15,12.259,1.22,0.71,1.97,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,250000011,Eisenhower Medical Center,Acute Care Hospital,Major Teaching,Riverside,4398,28,28.115,1.00,0.68,1.42,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,070001351,El Camino Hospital,Acute Care Hospital,Community (>250 Beds),Santa Clara,4549,12,16.564,0.72,0.39,1.23,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,070000136,El Camino Hospital Los Gatos,Acute Care Hospital,Community (125-250 Beds),Santa Clara,1270,5,5.696,0.88,0.32,1.95,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,090000040,El Centro Regional Medical Center,Acute Care Hospital,Community (<125 Beds),Imperial,894,2,2.704,0.74,0.12,2.44,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,030000125,Emanuel Medical Center,Acute Care Hospital,Community (125-250 Beds),Stanislaus,1727,8,8.202,0.98,0.45,1.85,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000054,Encino Hospital Medical Center,Acute Care Hospital,Community (125-250 Beds),Los Angeles,52,0,0.212,0.00,0,17.4,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,230000013,"Enloe Medical Center, Esplanade",Acute Care Hospital,Community (>250 Beds),Butte,2931,4,14.159,0.28,0.09,0.68,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,230000019,Fairchild Medical Center,Critical Access Hospital,Critical Access,Siskiyou,335,3,1.491,2.01,0.51,5.48,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000056,Foothill Presbyterian Hospital - Johnston Memorial,Acute Care Hospital,Community (<125 Beds),Los Angeles,1225,4,11.076,0.36,0.12,0.87,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,060000013,Foothill Regional Medical Center,Acute Care Hospital,Community (<125 Beds),Orange,12,1,0.149,,,,,,,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,060000011,Fountain Valley Regional Hospital and Medical Center,Acute Care Hospital,Community (>250 Beds),Orange,3611,32,15.695,2.04,1.42,2.84,Worse,,No,"Hospitals reported combined data, see Data Dictionary"
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,050000016,French Hospital Medical Center,Acute Care Hospital,Community (<125 Beds),San Luis Obispo,1370,8,4.602,1.74,0.81,3.3,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,040001397,Fresno Heart and Surgical Hospital,Acute Care Hospital,Community (<125 Beds),Fresno,1399,5,6.447,0.78,0.28,1.72,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,040000254,Fresno Surgical Hospital,Acute Care Hospital,Community (<125 Beds),Fresno,1738,0,4.55,0.00,0,0.66,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,060000058,Garden Grove Hospital and Medical Center,Acute Care Hospital,Community (125-250 Beds),Orange,1101,0,2.612,0.00,0,1.15,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000058,Garfield Medical Center,Acute Care Hospital,Community (125-250 Beds),Los Angeles,2590,0,10.408,0.00,0,0.29,Better,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,070000141,George L. Mee Memorial Hospital,Acute Care Hospital,Community (<125 Beds),Monterey,167,0,0.499,0.00,0,7.39,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000093,Glendale Memorial Hospital and Health Center,Acute Care Hospital,Community (>250 Beds),Los Angeles,1826,3,7.026,0.43,0.11,1.16,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000060,Glendora Community Hospital,Acute Care Hospital,Community (125-250 Beds),Los Angeles,17,0,0.107,,,,,,,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,050000017,Goleta Valley Cottage Hospital,Acute Care Hospital,Community (<125 Beds),Santa Barbara,976,3,3.257,0.92,0.23,2.51,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,120000319,"Good Samaritan Hospital, Bakersfield",Acute Care Hospital,Community (<125 Beds),Kern,43,0,0.273,0.00,0,13.51,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000068,"Good Samaritan Hospital, Los Angeles",Acute Care Hospital,Community (125-250 Beds),Los Angeles,2400,4,9.401,0.43,0.14,1.03,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,070000153,"Good Samaritan Hospital, San Jose",Acute Care Hospital,Community (>250 Beds),Santa Clara,4322,35,22.316,1.57,1.11,2.16,Worse,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000062,Greater El Monte Community Hospital,Acute Care Hospital,Community (<125 Beds),Los Angeles,163,0,0.302,0.00,0,12.22,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,080000045,Grossmont Hospital,Acute Care Hospital,Community (>250 Beds),San Diego,4611,23,25.669,0.90,0.58,1.32,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,070000142,Hazel Hawkins Memorial Hospital,Acute Care Hospital,Community (<125 Beds),San Benito,419,0,1.542,0.00,0,1.94,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,110000009,Healdsburg District Hospital,Critical Access Hospital,Critical Access,Sonoma,157,0,0.668,0.00,0,5.52,Same,,Yes,* See Data Dictionary
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,250000012,Hemet Valley Medical Center,Acute Care Hospital,Major Teaching,Riverside,1384,11,6.521,1.69,0.89,2.93,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,930000063,Henry Mayo Newhall Hospital,Acute Care Hospital,Community (125-250 Beds),Los Angeles,1541,2,6.371,0.31,0.05,1.04,Same,,Yes,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,240000014,Hi-Desert Medical Center,Acute Care Hospital,Community (<125 Beds),San Bernardino,316,2,1.084,1.85,0.31,6.1,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,140000034,Highland Hospital,Acute Care Hospital,Major Teaching,Alameda,1787,22,16.438,1.34,0.86,1.99,Same,,No,
2017,California,"Healthcare Associated Infection, Surgical Site Infections (SSI)",,060001022,Hoag Hospital Irvine,Acute Care Hospital,Community (<125 Beds),Orange,702,4,4.837,0.83,0.26,2,Same,,Yes,
